Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	cell_line	cell_type	source_name	Consent	DATASTORE_provider	LibrarySource	Organism	drug	library_construction
RNA-Seq		40	PRJNA294290	SAMN04019050	GEO	sra	SRX1174999	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1726	1140	ILLUMINA	2016-05-17	SRR2219531	SRS1050127	SRP063003	GSM1864237	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019049	GEO	sra	SRX1174998	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1789	1153	ILLUMINA	2016-05-17	SRR2219530	SRS1050128	SRP063003	GSM1864234	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019048	GEO	sra	SRX1174997	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1683	1062	ILLUMINA	2016-05-17	SRR2219529	SRS1050129	SRP063003	GSM1864232	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019047	GEO	sra	SRX1174996	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1877	1184	ILLUMINA	2016-05-17	SRR2219528	SRS1050130	SRP063003	GSM1864229	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019046	GEO	sra	SRX1174995	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1666	1075	ILLUMINA	2016-05-17	SRR2219527	SRS1050131	SRP063003	GSM1864227	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019044	GEO	sra	SRX1174993	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1684	1086	ILLUMINA	2016-05-17	SRR2219525	SRS1050132	SRP063003	GSM1864222	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019045	GEO	sra	SRX1174994	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1671	1100	ILLUMINA	2016-05-17	SRR2219526	SRS1050133	SRP063003	GSM1864225	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019043	GEO	sra	SRX1174992	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1503	978	ILLUMINA	2016-05-17	SRR2219524	SRS1050134	SRP063003	GSM1864220	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019042	GEO	sra	SRX1174991	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1500	951	ILLUMINA	2016-05-17	SRR2219523	SRS1050135	SRP063003	GSM1864219	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019041	GEO	sra	SRX1174990	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1921	1268	ILLUMINA	2016-05-17	SRR2219522	SRS1050136	SRP063003	GSM1864218	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019040	GEO	sra	SRX1174989	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	2108	1323	ILLUMINA	2016-05-17	SRR2219521	SRS1050137	SRP063003	GSM1864217	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019039	GEO	sra	SRX1174988	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1932	1273	ILLUMINA	2016-05-17	SRR2219520	SRS1050138	SRP063003	GSM1864216	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		137	PRJNA306589	SAMN04357240		sra	SRX1493451	0	Illumina MiSeq	SINGLE	cDNA	BC15_R2_PCRIVT_L1	2015-12-21	133	79	ILLUMINA	2016-06-01	SRR3036638	SRS1214528	SRP067618	L1	LNCaP			public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		137	PRJNA306589	SAMN04357240		sra	SRX1493462	0	Illumina MiSeq	SINGLE	cDNA	BC11_R2_PCRIVT_L1	2015-12-21	53	33	ILLUMINA	2016-06-01	SRR3036649	SRS1214528	SRP067618	L1	LNCaP			public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		137	PRJNA306589	SAMN04357240		sra	SRX1493473	0	Illumina MiSeq	SINGLE	cDNA	BC13_R2_PCRIVT_L1	2015-12-21	83	47	ILLUMINA	2016-06-01	SRR3036660	SRS1214528	SRP067618	L1	LNCaP			public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		137	PRJNA306589	SAMN04357240		sra	SRX1493479	0	Illumina MiSeq	SINGLE	cDNA	BC9_R2_PCRIVT_L1	2015-12-21	27	16	ILLUMINA	2016-06-01	SRR3036666	SRS1214528	SRP067618	L1	LNCaP			public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		137	PRJNA306589	SAMN04357240		sra	SRX1493480	0	Illumina MiSeq	SINGLE	cDNA	BC14_R2_PCRIVT_L1	2015-12-21	147	83	ILLUMINA	2016-06-01	SRR3036667	SRS1214528	SRP067618	L1	LNCaP			public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		137	PRJNA306589	SAMN04357240		sra	SRX1493481	0	Illumina MiSeq	SINGLE	cDNA	BC10_R2_PCRIVT_L1	2015-12-21	97	55	ILLUMINA	2016-06-01	SRR3036668	SRS1214528	SRP067618	L1	LNCaP			public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		137	PRJNA306589	SAMN04357240		sra	SRX1493482	0	Illumina MiSeq	SINGLE	cDNA	BC16_R2_PCRIVT_L1	2015-12-21	94	56	ILLUMINA	2016-06-01	SRR3036669	SRS1214528	SRP067618	L1	LNCaP			public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		137	PRJNA306589	SAMN04357240		sra	SRX1493483	0	Illumina MiSeq	SINGLE	cDNA	BC12_R2_PCRIVT_L1	2015-12-21	67	43	ILLUMINA	2016-06-01	SRR3036670	SRS1214528	SRP067618	L1	LNCaP			public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA338786	SAMN05570487	GEO	sra	SRX2017951	0	Illumina HiSeq 2000	SINGLE	cDNA		2016-08-12	1580	1078	ILLUMINA	2017-11-15	SRR4025900	SRS1613922	SRP081515	GSM2277142	LNCaP/AR		LNCaP/AR	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA338786	SAMN05570486	GEO	sra	SRX2017952	0	Illumina HiSeq 2000	SINGLE	cDNA		2016-08-12	1344	919	ILLUMINA	2017-11-15	SRR4025901	SRS1613923	SRP081515	GSM2277143	LNCaP/AR		LNCaP/AR	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA338786	SAMN05570495	GEO	sra	SRX2017953	0	Illumina HiSeq 2000	SINGLE	cDNA		2016-08-12	1569	1070	ILLUMINA	2017-11-15	SRR4025902	SRS1613924	SRP081515	GSM2277144	LNCaP/AR		LNCaP/AR	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA338786	SAMN05570494	GEO	sra	SRX2017954	0	Illumina HiSeq 2000	SINGLE	cDNA		2016-08-12	1534	1051	ILLUMINA	2017-11-15	SRR4025903	SRS1613925	SRP081515	GSM2277145	LNCaP/AR		LNCaP/AR	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA338786	SAMN05570493	GEO	sra	SRX2017955	0	Illumina HiSeq 2000	SINGLE	cDNA		2016-08-12	1715	1172	ILLUMINA	2017-11-15	SRR4025904	SRS1613926	SRP081515	GSM2277146	LNCaP/AR		LNCaP/AR	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA338786	SAMN05570492	GEO	sra	SRX2017956	0	Illumina HiSeq 2000	SINGLE	cDNA		2016-08-12	1472	1003	ILLUMINA	2017-11-15	SRR4025905	SRS1613927	SRP081515	GSM2277147	LNCaP/AR		LNCaP/Ar	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		51	PRJNA167797	SAMN01001648	GEO	sra	SRX150913	0	Illumina HiSeq 2000	SINGLE	cDNA	GSM941196: LNCaP-Sicontrol-rep1	2012-06-01	3292	2220	ILLUMINA	2015-06-01	SRR503004	SRS336308	SRP013473	GSM941196	LNCaP	prostate cancer cells	LNCaP-SiControl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		51	PRJNA167797	SAMN01001649	GEO	sra	SRX150914	0	Illumina HiSeq 2000	SINGLE	cDNA	GSM941198: LNCaP-Sicontrol-rep2	2012-06-01	1910	1112	ILLUMINA	2015-06-01	SRR503005	SRS336309	SRP013473	GSM941198	LNCaP	prostate cancer cells	LNCaP-SiControl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		51	PRJNA167797	SAMN01001650	GEO	sra	SRX150915	0	Illumina HiSeq 2000	SINGLE	cDNA	GSM941199: LNCaP-SiGATA2-REP1	2012-06-01	2624	1506	ILLUMINA	2015-06-01	SRR503006	SRS336310	SRP013473	GSM941199	LNCaP	prostate cancer cells	LNCaP-SiGATA2	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA167797	SAMN01001651	GEO	sra	SRX150916	0	Illumina HiSeq 2000	SINGLE	cDNA	GSM941211: LNCaP-SiGATA2-REP2	2012-06-01	1893	1167	ILLUMINA	2015-06-01	SRR503007	SRS336311	SRP013473	GSM941211	LNCaP	prostate cancer cells	LNCaP-SiGATA2	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA187482	SAMN01906559	GEO	sra	SRX220077	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-01-28	16706	10177	ILLUMINA	2015-01-02	SRR653217	SRS387657	SRP018241	GSM1071278	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA187482	SAMN01906560	GEO	sra	SRX220078	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-01-28	17136	10520	ILLUMINA	2015-01-02	SRR653218	SRS387658	SRP018241	GSM1071279	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA187482	SAMN01906563	GEO	sra	SRX220081	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-01-28	18183	11190	ILLUMINA	2015-01-02	SRR653221	SRS387661	SRP018241	GSM1071282	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA187482	SAMN01906564	GEO	sra	SRX220082	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-01-28	17830	11010	ILLUMINA	2015-01-02	SRR653222	SRS387662	SRP018241	GSM1071283	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		51	PRJNA266510	SAMN03165740	GEO	sra	SRX752913	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-06	3292	2216	ILLUMINA	2016-01-14	SRR1643004	SRS738372	SRP049591	GSM1538435	LNCaP		LNCaP-siControl RNA-seq	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		51	PRJNA266510	SAMN03165740	GEO	sra	SRX752913	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-06	1910	1110	ILLUMINA	2016-01-14	SRR1643005	SRS738372	SRP049591	GSM1538435	LNCaP		LNCaP-siControl RNA-seq	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA266510	SAMN03165744	GEO	sra	SRX752914	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-06	3204	2064	ILLUMINA	2016-01-14	SRR1643006	SRS738373	SRP049591	GSM1538436	LNCaP		LNCaP-siCREB1 RNA-seq	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA266510	SAMN03165744	GEO	sra	SRX752914	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-06	3274	2123	ILLUMINA	2016-01-14	SRR1643007	SRS738373	SRP049591	GSM1538436	LNCaP		LNCaP-siCREB1 RNA-seq	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA266510	SAMN03165747	GEO	sra	SRX752915	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-06	2846	1802	ILLUMINA	2016-01-14	SRR1643008	SRS738374	SRP049591	GSM1538437	LNCaP		LNCaP-siFoxA1 RNA-seq	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA266510	SAMN03165747	GEO	sra	SRX752915	0	Illumina HiSeq 2500	SINGLE	cDNA		2014-11-06	3219	2049	ILLUMINA	2016-01-14	SRR1643009	SRS738374	SRP049591	GSM1538437	LNCaP		LNCaP-siFoxA1 RNA-seq	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA290918	SAMN03922800	GEO	sra	SRX1117816	0	Illumina HiSeq 2500	SINGLE	cDNA		2015-07-24	3243	2027	ILLUMINA	2016-02-01	SRR2126728	SRS1010966	SRP061566	GSM1832741	LNCaP	Prostate cancer cell line	LNCaP cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA290918	SAMN03922799	GEO	sra	SRX1117815	0	Illumina HiSeq 2500	SINGLE	cDNA		2015-07-24	2331	1464	ILLUMINA	2016-02-01	SRR2126727	SRS1010967	SRP061566	GSM1832740	LNCaP	Prostate cancer cell line	LNCaP cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA290918	SAMN03922798	GEO	sra	SRX1117814	0	Illumina HiSeq 2500	SINGLE	cDNA		2015-07-24	2945	1848	ILLUMINA	2016-02-01	SRR2126726	SRS1010968	SRP061566	GSM1832739	LNCaP	Prostate cancer cell line	LNCaP cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA290918	SAMN03922797	GEO	sra	SRX1117813	0	Illumina HiSeq 2500	SINGLE	cDNA		2015-07-24	2703	1679	ILLUMINA	2016-02-01	SRR2126725	SRS1010969	SRP061566	GSM1832738	LNCaP	Prostate cancer cell line	LNCaP cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA290918	SAMN03922796	GEO	sra	SRX1117812	0	Illumina HiSeq 2500	SINGLE	cDNA		2015-07-24	2499	1562	ILLUMINA	2016-02-01	SRR2126724	SRS1010970	SRP061566	GSM1832737	LNCaP	Prostate cancer cell line	LNCaP cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA290918	SAMN03922795	GEO	sra	SRX1117811	0	Illumina HiSeq 2500	SINGLE	cDNA		2015-07-24	3338	2069	ILLUMINA	2016-02-01	SRR2126723	SRS1010971	SRP061566	GSM1832736	LNCaP	Prostate cancer cell line	LNCaP cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019038	GEO	sra	SRX1174987	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1644	1091	ILLUMINA	2016-05-17	SRR2219519	SRS1050139	SRP063003	GSM1864215	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019037	GEO	sra	SRX1174986	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1884	1235	ILLUMINA	2016-05-17	SRR2219518	SRS1050140	SRP063003	GSM1864214	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		40	PRJNA294290	SAMN04019036	GEO	sra	SRX1174985	0	Illumina HiSeq 2000	SINGLE	cDNA		2015-08-31	1693	1093	ILLUMINA	2016-05-17	SRR2219517	SRS1050141	SRP063003	GSM1864213	LNCaP-abl	prostate cancer cell line	LNCaP-abl	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		200	PRJNA297885	SAMN04147559	GEO	sra	SRX1309036	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-06	2461	1078	ILLUMINA	2016-04-08	SRR2567464	SRS1102090	SRP064527	GSM1902623	LNCaP		prostate cancer cells LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		200	PRJNA297885	SAMN04147558	GEO	sra	SRX1309035	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-06	2826	1229	ILLUMINA	2016-04-08	SRR2567463	SRS1102091	SRP064527	GSM1902622	LNCaP		prostate cancer cells LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		200	PRJNA297885	SAMN04147557	GEO	sra	SRX1309034	0	Illumina HiSeq 2500	PAIRED	cDNA		2015-10-06	1908	835	ILLUMINA	2016-04-08	SRR2567462	SRS1102092	SRP064527	GSM1902621	LNCaP		prostate cancer cells LNCaP	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA241279	SAMN02689062	GEO	sra	SRX489043	0	Illumina HiSeq 2000	SINGLE	cDNA		2014-03-13	3138	2084	ILLUMINA	2014-07-01	SRR1192053	SRS572547	SRP040117	GSM1348226	LNCaP	prostate cancer cell line	LNCaP cells, DHT	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA241279	SAMN02689059	GEO	sra	SRX489044	0	Illumina HiSeq 2000	SINGLE	cDNA		2014-03-13	2445	1643	ILLUMINA	2014-07-01	SRR1192054	SRS572548	SRP040117	GSM1348227	LNCaP	prostate cancer cell line	LNCaP cells, vehicle only	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA241279	SAMN02689061	GEO	sra	SRX489045	0	Illumina HiSeq 2000	SINGLE	cDNA		2014-03-13	2413	1641	ILLUMINA	2014-07-01	SRR1192055	SRS572549	SRP040117	GSM1348228	LNCaP	prostate cancer cell line	LNCaP cells, SD70 + DHT	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		50	PRJNA241279	SAMN02689063	GEO	sra	SRX489046	0	Illumina HiSeq 2000	SINGLE	cDNA		2014-03-13	2060	1388	ILLUMINA	2014-07-01	SRR1192056	SRS572550	SRP040117	GSM1348229	LNCaP	prostate cancer cell line	LNCaP cells, SD70	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		198	PRJNA243568	SAMN02719418	GEO	sra	SRX511047	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-04-04	853	628	ILLUMINA	2014-12-01	SRR1217088	SRS589110	SRP040966	GSM1363032	LNCaP	Prostate cancer cell line	LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		198	PRJNA243568	SAMN02719419	GEO	sra	SRX511046	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-04-04	14081	10271	ILLUMINA	2014-12-01	SRR1217087	SRS589111	SRP040966	GSM1363031	LNCaP	Prostate cancer cell line	LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA268024	SAMN03201699	GEO	sra	SRX764079	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-11-19	6460	4421	ILLUMINA	2015-02-09	SRR1657556	SRS748460	SRP050061	GSM1550723	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		202	PRJNA268024	SAMN03201697	GEO	sra	SRX764080	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-11-19	6052	4150	ILLUMINA	2015-02-09	SRR1657557	SRS748461	SRP050061	GSM1550724	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA268024	SAMN03201698	GEO	sra	SRX764081	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-11-19	381	250	ILLUMINA	2015-02-09	SRR1657558	SRS748462	SRP050061	GSM1550725	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA268024	SAMN03201702	GEO	sra	SRX764082	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-11-19	381	251	ILLUMINA	2015-02-09	SRR1657559	SRS748463	SRP050061	GSM1550726	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA268024	SAMN03201701	GEO	sra	SRX764083	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-11-19	381	259	ILLUMINA	2015-02-09	SRR1657560	SRS748464	SRP050061	GSM1550727	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		100	PRJNA268024	SAMN03201700	GEO	sra	SRX764084	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-11-19	381	261	ILLUMINA	2015-02-09	SRR1657561	SRS748465	SRP050061	GSM1550728	LNCaP		LNCaP cells	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA295183	SAMN04044028	GEO	sra	SRX1212656	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-09	3820	2278	ILLUMINA	2017-10-11	SRR2318176	SRS1061445	SRP063510	GSM1873355	LNCaP		Prostate cancer cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA295183	SAMN04044027	GEO	sra	SRX1212655	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-09	3691	2231	ILLUMINA	2017-10-11	SRR2318175	SRS1061446	SRP063510	GSM1873354	LNCaP		Prostate cancer cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA295183	SAMN04044026	GEO	sra	SRX1212654	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-09	3730	2293	ILLUMINA	2017-10-11	SRR2318174	SRS1061447	SRP063510	GSM1873353	LNCaP		Prostate cancer cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA295183	SAMN04044025	GEO	sra	SRX1212653	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-09	3615	2152	ILLUMINA	2017-10-11	SRR2318173	SRS1061448	SRP063510	GSM1873352	LNCaP		Prostate cancer cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA295183	SAMN04044024	GEO	sra	SRX1212652	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-09	3682	2229	ILLUMINA	2017-10-11	SRR2318172	SRS1061449	SRP063510	GSM1873351	LNCaP		Prostate cancer cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA295183	SAMN04044023	GEO	sra	SRX1212651	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-09	4283	2648	ILLUMINA	2017-10-11	SRR2318171	SRS1061450	SRP063510	GSM1873350	LNCaP		Prostate cancer cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA295183	SAMN04044022	GEO	sra	SRX1212650	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-09	3185	1898	ILLUMINA	2017-10-11	SRR2318170	SRS1061451	SRP063510	GSM1873349	LNCaP		Prostate cancer cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA295183	SAMN04044021	GEO	sra	SRX1212649	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-09	3911	2360	ILLUMINA	2017-10-11	SRR2318169	SRS1061452	SRP063510	GSM1873348	LNCaP		Prostate cancer cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		98	PRJNA295183	SAMN04044020	GEO	sra	SRX1212648	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-09	3857	2359	ILLUMINA	2017-10-11	SRR2318168	SRS1061453	SRP063510	GSM1873347	LNCaP		Prostate cancer cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		152	PRJNA301565	SAMN04252061	GEO	sra	SRX1424668	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-11-20	4611	3183	ILLUMINA	2016-11-08	SRR2930943	SRS1156967	SRP065951	GSM1933860	LNCaP	prostate cancer cells	LNCaP_NANOG1_AD_day 5	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		152	PRJNA301565	SAMN04252060	GEO	sra	SRX1424667	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-11-20	4768	3296	ILLUMINA	2016-11-08	SRR2930942	SRS1156968	SRP065951	GSM1933859	LNCaP	prostate cancer cells	LNCaP_NANOG1_AD_day 5	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		152	PRJNA301565	SAMN04252084	GEO	sra	SRX1424691	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-11-20	4284	2923	ILLUMINA	2016-11-08	SRR2930966	SRS1156976	SRP065951	GSM1933883	LNCaP	prostate cancer cells	LNCaP_pLVX_AI_day 22	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		152	PRJNA301565	SAMN04252083	GEO	sra	SRX1424690	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-11-20	4076	2779	ILLUMINA	2016-11-08	SRR2930965	SRS1156977	SRP065951	GSM1933882	LNCaP	prostate cancer cells	LNCaP_pLVX_AI_day 22	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		152	PRJNA301565	SAMN04252082	GEO	sra	SRX1424689	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-11-20	3962	2765	ILLUMINA	2016-11-08	SRR2930964	SRS1156978	SRP065951	GSM1933881	LNCaP	prostate cancer cells	LNCaP_pLVX_AI_day 22	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
RNA-Seq		152	PRJNA301565	SAMN04252081	GEO	sra	SRX1424688	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-11-20	4223	2945	ILLUMINA	2016-11-08	SRR2930963	SRS1156979	SRP065951	GSM1933880	LNCaP	prostate cancer cells	LNCaP_NANOGP8_AI_day 22	public	ncbi	TRANSCRIPTOMIC	Homo sapiens		
