Assay_Type	AvgSpotLen	BioProject	BioSample	Center_Name	ENA_FIRST_PUBLIC	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	g1k_pop_code	population	AssemblyName	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_LAST_UPDATE	LibrarySource	Organism	Strain	g1k_analysis_group
OTHER	36	PRJEB3365	SAMEA1573276	CNAG and CRG	2012-11-06	ERX162350	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00321.2.MI_120126_5 extract	2012-11-06	515	326	ILLUMINA	2012-11-06	ERR187928	ERS185194	ERP001941	GEUV:HG00321		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573284	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162351	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20772.3.MI_120120_1 extract	2012-11-06	384	204	ILLUMINA	2012-11-06	ERR187899	ERS185195	ERP001941	GEUV:NA20772		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573223	University of Geneva	2012-11-06	ERX162352	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00280.1.MI_120104_2 extract	2012-11-06	284	173	ILLUMINA	2012-11-06	ERR187835	ERS185196	ERP001941	GEUV:HG00280		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573213	University of Geneva	2012-11-06	ERX162353	0	Illumina HiSeq 2000	SINGLE	cDNA	HG02215.1.MI_120104_1 extract	2012-11-06	183	114	ILLUMINA	2012-11-06	ERR187903	ERS185197	ERP001941	GEUV:HG02215		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573229	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162355	0	Illumina HiSeq 2000	SINGLE	cDNA	NA18910.3.MI_120120_4 extract	2012-11-06	214	137	ILLUMINA	2012-11-06	ERR187794	ERS185199	ERP001941	GEUV:NA18910		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573234	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162358	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00310.4.MI_120208_5 extract	2012-11-06	259	164	ILLUMINA	2012-11-06	ERR187719	ERS185202	ERP001941	GEUV:HG00310		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573277	Leiden University Medical Center	2012-11-06	ERX162362	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00097.7.MI_120224_2 extract	2012-11-06	206	153	ILLUMINA	2012-11-06	ERR187844	ERS185206	ERP001941	GEUV:HG00097		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	50	PRJEB3365	SAMEA1573291	Uppsala University	2012-11-06	ERX162363	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12843.6.MI_120217_2 extract	2012-11-06	737	511	ILLUMINA	2012-11-06	ERR187851	ERS185207	ERP001941	GEUV:NA12843		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573261	University of Geneva	2012-11-06	ERX162365	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00185.1.MI_120104_1 extract	2012-11-06	89	58	ILLUMINA	2012-11-06	ERR187740	ERS185209	ERP001941	GEUV:HG00185		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573314	University of Geneva	2012-11-06	ERX162368	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20525.1.MI_120104_2 extract	2012-11-06	482	278	ILLUMINA	2012-11-06	ERR187856	ERS185212	ERP001941	GEUV:NA20525		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573416	Leiden University Medical Center	2012-11-06	ERX162370	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12829.7.MI_120224_2 extract	2012-11-06	336	245	ILLUMINA	2012-11-06	ERR187797	ERS185214	ERP001941	GEUV:NA12829		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573212	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162375	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20510.3.MI_120120_5 extract	2012-11-06	399	251	ILLUMINA	2012-11-06	ERR187739	ERS185219	ERP001941	GEUV:NA20510		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573457	University of Geneva	2012-11-06	ERX162376	0	Illumina HiSeq 2000	SINGLE	cDNA	NA18867.1.MI_120104_2 extract	2012-11-06	121	78	ILLUMINA	2012-11-06	ERR187891	ERS185220	ERP001941	GEUV:NA18867		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573494	University of Geneva	2012-11-06	ERX162377	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19092.1.MI_120104_4 extract	2012-11-06	341	204	ILLUMINA	2012-11-06	ERR187881	ERS185221	ERP001941	GEUV:NA19092		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573318	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162382	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20513.4.MI_120208_5 extract	2012-11-06	328	209	ILLUMINA	2012-11-06	ERR187912	ERS185226	ERP001941	GEUV:NA20513		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573315	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	2012-11-06	ERX162383	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20768.5.MI_120327_1 extract	2012-11-06	208	126	ILLUMINA	2012-11-06	ERR187915	ERS185227	ERP001941	GEUV:NA20768		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573364	University of Geneva	2012-11-06	ERX162384	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19201.1.MI_120104_4 extract	2012-11-06	115	74	ILLUMINA	2012-11-06	ERR187764	ERS185228	ERP001941	GEUV:NA19201		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573348	CNAG and CRG	2012-11-06	ERX162385	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00367.2.MI_120126_5 extract	2012-11-06	366	233	ILLUMINA	2012-11-06	ERR187822	ERS185229	ERP001941	GEUV:HG00367		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573091	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162387	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20585.3.MI_120120_6 extract	2012-11-06	579	379	ILLUMINA	2012-11-06	ERR187805	ERS185231	ERP001941	GEUV:NA20585		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573103	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162388	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00124.3.MI_120120_5 extract	2012-11-06	313	203	ILLUMINA	2012-11-06	ERR187713	ERS185232	ERP001941	GEUV:HG00124		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573540	Leiden University Medical Center	2012-11-06	ERX162389	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20801.7.MI_120224_3 extract	2012-11-06	246	175	ILLUMINA	2012-11-06	ERR187878	ERS185233	ERP001941	GEUV:NA20801		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573522	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	2012-11-06	ERX162390	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00141.5.MI_120327_3 extract	2012-11-06	499	309	ILLUMINA	2012-11-06	ERR187813	ERS185234	ERP001941	GEUV:HG00141		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573512	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162391	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00129.4.MI_120524_3 extract	2012-11-06	111	69	ILLUMINA	2012-11-06	ERR187832	ERS185235	ERP001941	GEUV:HG00129		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573500	CNAG and CRG	2012-11-06	ERX162392	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00315.2.MI_120126_3 extract	2012-11-07	402	249	ILLUMINA	2012-11-07	ERR187926	ERS185236	ERP001941	GEUV:HG00315		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573478	Leiden University Medical Center	2012-11-06	ERX162394	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12234.7.MI_120224_3 extract	2012-11-06	333	228	ILLUMINA	2012-11-06	ERR187808	ERS185238	ERP001941	GEUV:NA12234		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573123	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162405	0	Illumina HiSeq 2000	SINGLE	cDNA	NA18934.3.MI_120120_2 extract	2012-11-06	428	293	ILLUMINA	2012-11-06	ERR187726	ERS185249	ERP001941	GEUV:NA18934		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573120	CNAG and CRG	2012-11-06	ERX162406	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00282.2.MI_120126_7 extract	2012-11-06	560	340	ILLUMINA	2012-11-06	ERR187818	ERS185250	ERP001941	GEUV:HG00282		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573104	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162407	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00151.3.MI_120120_4 extract	2012-11-06	177	111	ILLUMINA	2012-11-06	ERR187812	ERS185251	ERP001941	GEUV:HG00151		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	50	PRJEB3365	SAMEA1573191	Uppsala University	2012-11-06	ERX162409	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19256.6.MI_120217_2 extract	2012-11-06	233	163	ILLUMINA	2012-11-06	ERR187840	ERS185253	ERP001941	GEUV:NA19256		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573149	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162413	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00148.3.MI_120120_4 extract	2012-11-06	431	273	ILLUMINA	2012-11-06	ERR187825	ERS185257	ERP001941	GEUV:HG00148		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573245	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162414	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00237.4.MI_120208_5 extract	2012-11-06	421	264	ILLUMINA	2012-11-06	ERR187824	ERS185258	ERP001941	GEUV:HG00237		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573230	University of Geneva	2012-11-06	ERX162415	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20826.1.MI_120104_2 extract	2012-11-06	243	144	ILLUMINA	2012-11-06	ERR187933	ERS185259	ERP001941	GEUV:NA20826		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573517	CNAG and CRG	2012-11-06	ERX162416	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12400.2.MI_120126_6 extract	2012-11-06	357	226	ILLUMINA	2012-11-06	ERR187845	ERS185260	ERP001941	GEUV:NA12400		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573513	CNAG and CRG	2012-11-06	ERX162417	0	Illumina HiSeq 2000	SINGLE	cDNA	HG01791.2.MI_120126_7 extract	2012-11-06	429	280	ILLUMINA	2012-11-06	ERR187836	ERS185261	ERP001941	GEUV:HG01791		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573483	CNAG and CRG	2012-11-06	ERX162419	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20797.2.MI_120126_3 extract	2012-11-06	294	188	ILLUMINA	2012-11-06	ERR187919	ERS185263	ERP001941	GEUV:NA20797		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573507	Leiden University Medical Center	2012-11-06	ERX162420	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12275.7.MI_120224_3 extract	2012-11-06	376	268	ILLUMINA	2012-11-06	ERR187935	ERS185264	ERP001941	GEUV:NA12275		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573126	University of Geneva	2012-11-06	ERX162423	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19137.1.MI_120104_2 extract	2012-11-06	218	139	ILLUMINA	2012-11-06	ERR187788	ERS185267	ERP001941	GEUV:NA19137		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573118	CNAG and CRG	2012-11-06	ERX162425	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00265.2.MI_120126_2 extract	2012-11-06	420	273	ILLUMINA	2012-11-06	ERR187821	ERS185269	ERP001941	GEUV:HG00265		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573402	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162426	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00267.4.MI_120524_1 extract	2012-11-06	169	106	ILLUMINA	2012-11-06	ERR187931	ERS185270	ERP001941	GEUV:HG00267		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	50	PRJEB3365	SAMEA1573419	Uppsala University	2012-11-06	ERX162427	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00264.6.MI_120217_2 extract	2012-11-06	419	289	ILLUMINA	2012-11-06	ERR187746	ERS185271	ERP001941	GEUV:HG00264		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573424	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162428	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00105.3.MI_120120_2 extract	2012-11-06	497	284	ILLUMINA	2012-11-06	ERR187749	ERS185272	ERP001941	GEUV:HG00105		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	50	PRJEB3365	SAMEA1573431	Uppsala University	2012-11-06	ERX162429	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00134.6.MI_120217_2 extract	2012-11-06	215	152	ILLUMINA	2012-11-06	ERR187838	ERS185273	ERP001941	GEUV:HG00134		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573440	University of Geneva	2012-11-06	ERX162430	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00359.1.MI_120104_1 extract	2012-11-06	217	139	ILLUMINA	2012-11-06	ERR187925	ERS185274	ERP001941	GEUV:HG00359		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573491	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	2012-11-06	ERX162433	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00183.5.MI_120327_5 extract	2012-11-06	422	289	ILLUMINA	2012-11-06	ERR187728	ERS185277	ERP001941	GEUV:HG00183		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573408	CNAG and CRG	2012-11-06	ERX162436	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00328.2.MI_120126_2 extract	2012-11-06	506	336	ILLUMINA	2012-11-06	ERR187815	ERS185280	ERP001941	GEUV:HG00328		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573423	CNAG and CRG	2012-11-06	ERX162437	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19114.2.MI_120126_4 extract	2012-11-06	300	194	ILLUMINA	2012-11-06	ERR187853	ERS185281	ERP001941	GEUV:NA19114		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573381	Max Planck Institute for Molecular Genetics	2012-11-06	ERX162438	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00160.3.MI_120120_2 extract	2012-11-06	446	298	ILLUMINA	2012-11-06	ERR187734	ERS185282	ERP001941	GEUV:HG00160		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573370	Leiden University Medical Center	2012-11-06	ERX162439	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00159.7.MI_120224_3 extract	2012-11-06	426	300	ILLUMINA	2012-11-06	ERR187803	ERS185283	ERP001941	GEUV:HG00159		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	50	PRJEB3365	SAMEA1573384	Uppsala University	2012-11-06	ERX162440	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19185.6.MI_120309_1 extract	2012-11-06	943	632	ILLUMINA	2012-11-06	ERR187889	ERS185284	ERP001941	GEUV:NA19185		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573365	CNAG and CRG	2012-11-06	ERX162442	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00231.2.MI_120126_5 extract	2012-11-06	279	176	ILLUMINA	2012-11-06	ERR187843	ERS185286	ERP001941	GEUV:HG00231		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573216	CNAG and CRG	2012-11-06	ERX162448	0	Illumina HiSeq 2000	SINGLE	cDNA	NA18498.2.MI_120126_5 extract	2012-11-06	268	171	ILLUMINA	2012-11-06	ERR187811	ERS185292	ERP001941	GEUV:NA18498		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573209	Leiden University Medical Center	2012-11-06	ERX162450	0	Illumina HiSeq 2000	SINGLE	cDNA	NA18502.7.MI_120224_3 extract	2012-11-06	256	191	ILLUMINA	2012-11-06	ERR187718	ERS185294	ERP001941	GEUV:NA18502		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573247	Leiden University Medical Center	2012-11-06	ERX162451	0	Illumina HiSeq 2000	SINGLE	cDNA	NA11831.7.MI_120224_2 extract	2012-11-06	770	564	ILLUMINA	2012-11-06	ERR187936	ERS185295	ERP001941	GEUV:NA11831		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573236	Leiden University Medical Center	2012-11-06	ERX162452	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20521.7.MI_120224_3 extract	2012-11-06	204	144	ILLUMINA	2012-11-06	ERR187715	ERS185296	ERP001941	GEUV:NA20521		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573360	University of Geneva	2012-11-06	ERX162460	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12342.1.MI_120104_2 extract	2012-11-06	302	182	ILLUMINA	2012-11-06	ERR187830	ERS185304	ERP001941	GEUV:NA12342		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573316	CNAG and CRG	2012-11-06	ERX162461	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19206.2.MI_120126_3 extract	2012-11-06	324	203	ILLUMINA	2012-11-06	ERR187867	ERS185305	ERP001941	GEUV:NA19206		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	50	PRJEB3365	SAMEA1573317	Uppsala University	2012-11-06	ERX162463	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20792.6.MI_120309_1 extract	2012-11-06	1266	833	ILLUMINA	2012-11-06	ERR187823	ERS185307	ERP001941	GEUV:NA20792		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	50	PRJEB3365	SAMEA1573300	Uppsala University	2012-11-06	ERX162464	0	Illumina HiSeq 2000	SINGLE	cDNA	NA07048.6.MI_120217_2 extract	2012-11-06	548	381	ILLUMINA	2012-11-06	ERR187789	ERS185308	ERP001941	GEUV:NA07048		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	50	PRJEB3365	SAMEA1573281	Uppsala University	2012-11-06	ERX162465	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00332.6.MI_120217_1 extract	2012-11-06	337	234	ILLUMINA	2012-11-06	ERR187939	ERS185309	ERP001941	GEUV:HG00332		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573488	University of Geneva	2012-11-06	ERX162466	0	Illumina HiSeq 2000	SINGLE	cDNA	NA19153.1.MI_120104_2 extract	2012-11-06	141	91	ILLUMINA	2012-11-06	ERR187774	ERS185310	ERP001941	GEUV:NA19153		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573499	Leiden University Medical Center	2012-11-06	ERX162468	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00152.7.MI_120224_2 extract	2012-11-06	155	115	ILLUMINA	2012-11-06	ERR187804	ERS185312	ERP001941	GEUV:HG00152		GBR		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573511	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	2012-11-06	ERX162469	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20515.5.MI_120327_1 extract	2012-11-06	213	123	ILLUMINA	2012-11-06	ERR187800	ERS185313	ERP001941	GEUV:NA20515		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573343	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162473	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20785.4.MI_120524_3 extract	2012-11-06	779	403	ILLUMINA	2012-11-06	ERR187752	ERS185317	ERP001941	GEUV:NA20785		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573352	Leiden University Medical Center	2012-11-06	ERX162474	0	Illumina HiSeq 2000	SINGLE	cDNA	NA20542.7.MI_120224_2 extract	2012-11-06	208	146	ILLUMINA	2012-11-06	ERR187744	ERS185318	ERP001941	GEUV:NA20542		TSI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573166	CNAG and CRG	2012-11-06	ERX162477	0	Illumina HiSeq 2000	SINGLE	cDNA	NA12413.2.MI_120126_1 extract	2012-11-06	236	155	ILLUMINA	2012-11-06	ERR187930	ERS185321	ERP001941	GEUV:NA12413		CEU		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573520	Institute of Clinical Molecular Biology, University of Kiel, Germany	2012-11-06	ERX162483	0	Illumina HiSeq 2000	SINGLE	cDNA	NA18873.4.MI_120524_3 extract	2012-11-06	170	106	ILLUMINA	2012-11-06	ERR187807	ERS185327	ERP001941	GEUV:NA18873		YRI		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
OTHER	36	PRJEB3365	SAMEA1573527	Helmholtz Zentrum München, German Research Center for Environmental Health, Germany	2012-11-06	ERX162485	0	Illumina HiSeq 2000	SINGLE	cDNA	HG00355.5.MI_120327_3 extract	2012-11-06	686	423	ILLUMINA	2012-11-06	ERR187849	ERS185329	ERP001941	GEUV:HG00355		FIN		public	sra	ncbi	2018-03-08	TRANSCRIPTOMIC	Homo sapiens	lymphoblastoid cell line	
