Assay_Type	AvgSpotLen	BioProject	BioSample	Center_Name	Experiment	Instrument	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	cell_type	isolate	patient_phenotype	run_label	seasonality	source_name	timepoint	tissue	treatment	BioSampleModel	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySource	Organism	analyte	biomaterial_provider	health_state	sex
RNA-Seq	51	PRJNA287538	SAMN04028897	GEO	SRX1182539	Illumina HiSeq 2500	cDNA		2015-09-04	142	63	ILLUMINA	2017-01-03	SRR2240377	SRS1054778	SRP059689	GSM1868748		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028898	GEO	SRX1182540	Illumina HiSeq 2500	cDNA		2015-09-04	136	61	ILLUMINA	2017-01-03	SRR2240378	SRS1054777	SRP059689	GSM1868749		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028898	GEO	SRX1182540	Illumina HiSeq 2500	cDNA		2015-09-04	133	60	ILLUMINA	2017-01-03	SRR2240379	SRS1054777	SRP059689	GSM1868749		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028848	GEO	SRX1182541	Illumina HiSeq 2500	cDNA		2015-09-04	162	73	ILLUMINA	2017-01-03	SRR2240380	SRS1054776	SRP059689	GSM1868750		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028848	GEO	SRX1182541	Illumina HiSeq 2500	cDNA		2015-09-04	158	71	ILLUMINA	2017-01-03	SRR2240381	SRS1054776	SRP059689	GSM1868750		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028849	GEO	SRX1182542	Illumina HiSeq 2500	cDNA		2015-09-04	158	71	ILLUMINA	2017-01-03	SRR2240382	SRS1054773	SRP059689	GSM1868751		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028849	GEO	SRX1182542	Illumina HiSeq 2500	cDNA		2015-09-04	154	69	ILLUMINA	2017-01-03	SRR2240383	SRS1054773	SRP059689	GSM1868751		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028850	GEO	SRX1182543	Illumina HiSeq 2500	cDNA		2015-09-04	189	84	ILLUMINA	2017-01-03	SRR2240384	SRS1054772	SRP059689	GSM1868752		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028850	GEO	SRX1182543	Illumina HiSeq 2500	cDNA		2015-09-04	185	82	ILLUMINA	2017-01-03	SRR2240385	SRS1054772	SRP059689	GSM1868752		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Non Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028851	GEO	SRX1182544	Illumina HiSeq 2500	cDNA		2015-09-04	169	76	ILLUMINA	2017-01-03	SRR2240386	SRS1054771	SRP059689	GSM1868753		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028851	GEO	SRX1182544	Illumina HiSeq 2500	cDNA		2015-09-04	166	74	ILLUMINA	2017-01-03	SRR2240387	SRS1054771	SRP059689	GSM1868753		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028852	GEO	SRX1182545	Illumina HiSeq 2500	cDNA		2015-09-04	159	71	ILLUMINA	2017-01-03	SRR2240388	SRS1054770	SRP059689	GSM1868754		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028852	GEO	SRX1182545	Illumina HiSeq 2500	cDNA		2015-09-04	156	69	ILLUMINA	2017-01-03	SRR2240389	SRS1054770	SRP059689	GSM1868754		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028853	GEO	SRX1182546	Illumina HiSeq 2500	cDNA		2015-09-04	172	77	ILLUMINA	2017-01-03	SRR2240390	SRS1054769	SRP059689	GSM1868755		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028853	GEO	SRX1182546	Illumina HiSeq 2500	cDNA		2015-09-04	168	75	ILLUMINA	2017-01-03	SRR2240391	SRS1054769	SRP059689	GSM1868755		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028854	GEO	SRX1182547	Illumina HiSeq 2500	cDNA		2015-09-04	154	69	ILLUMINA	2017-01-03	SRR2240392	SRS1054768	SRP059689	GSM1868756		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028854	GEO	SRX1182547	Illumina HiSeq 2500	cDNA		2015-09-04	151	67	ILLUMINA	2017-01-03	SRR2240393	SRS1054768	SRP059689	GSM1868756		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028855	GEO	SRX1182548	Illumina HiSeq 2500	cDNA		2015-09-04	133	59	ILLUMINA	2017-01-03	SRR2240394	SRS1054767	SRP059689	GSM1868757		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028855	GEO	SRX1182548	Illumina HiSeq 2500	cDNA		2015-09-04	130	58	ILLUMINA	2017-01-03	SRR2240395	SRS1054767	SRP059689	GSM1868757		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028856	GEO	SRX1182549	Illumina HiSeq 2500	cDNA		2015-09-04	111	50	ILLUMINA	2017-01-03	SRR2240396	SRS1054766	SRP059689	GSM1868758		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028856	GEO	SRX1182549	Illumina HiSeq 2500	cDNA		2015-09-04	108	48	ILLUMINA	2017-01-03	SRR2240397	SRS1054766	SRP059689	GSM1868758		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028857	GEO	SRX1182550	Illumina HiSeq 2500	cDNA		2015-09-04	132	59	ILLUMINA	2017-01-03	SRR2240398	SRS1054765	SRP059689	GSM1868759		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028857	GEO	SRX1182550	Illumina HiSeq 2500	cDNA		2015-09-04	129	58	ILLUMINA	2017-01-03	SRR2240399	SRS1054765	SRP059689	GSM1868759		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028858	GEO	SRX1182551	Illumina HiSeq 2500	cDNA		2015-09-04	115	52	ILLUMINA	2017-01-03	SRR2240400	SRS1054764	SRP059689	GSM1868760		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028858	GEO	SRX1182551	Illumina HiSeq 2500	cDNA		2015-09-04	112	50	ILLUMINA	2017-01-03	SRR2240401	SRS1054764	SRP059689	GSM1868760		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028859	GEO	SRX1182552	Illumina HiSeq 2500	cDNA		2015-09-04	126	57	ILLUMINA	2017-01-03	SRR2240402	SRS1054763	SRP059689	GSM1868761		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028859	GEO	SRX1182552	Illumina HiSeq 2500	cDNA		2015-09-04	123	55	ILLUMINA	2017-01-03	SRR2240403	SRS1054763	SRP059689	GSM1868761		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028860	GEO	SRX1182553	Illumina HiSeq 2500	cDNA		2015-09-04	107	48	ILLUMINA	2017-01-03	SRR2240404	SRS1054762	SRP059689	GSM1868762		Memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028860	GEO	SRX1182553	Illumina HiSeq 2500	cDNA		2015-09-04	105	46	ILLUMINA	2017-01-03	SRR2240405	SRS1054762	SRP059689	GSM1868762		Memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028861	GEO	SRX1182554	Illumina HiSeq 2500	cDNA		2015-09-04	118	52	ILLUMINA	2017-01-03	SRR2240406	SRS1054761	SRP059689	GSM1868763		Central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028861	GEO	SRX1182554	Illumina HiSeq 2500	cDNA		2015-09-04	115	51	ILLUMINA	2017-01-03	SRR2240407	SRS1054761	SRP059689	GSM1868763		Central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028862	GEO	SRX1182555	Illumina HiSeq 2500	cDNA		2015-09-04	143	63	ILLUMINA	2017-01-03	SRR2240408	SRS1054760	SRP059689	GSM1868764		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028862	GEO	SRX1182555	Illumina HiSeq 2500	cDNA		2015-09-04	140	62	ILLUMINA	2017-01-03	SRR2240409	SRS1054760	SRP059689	GSM1868764		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw during of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028863	GEO	SRX1182556	Illumina HiSeq 2500	cDNA		2015-09-04	162	73	ILLUMINA	2017-01-03	SRR2240410	SRS1054759	SRP059689	GSM1868765		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028863	GEO	SRX1182556	Illumina HiSeq 2500	cDNA		2015-09-04	159	70	ILLUMINA	2017-01-03	SRR2240411	SRS1054759	SRP059689	GSM1868765		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028864	GEO	SRX1182557	Illumina HiSeq 2500	cDNA		2015-09-04	86	55	ILLUMINA	2017-01-03	SRR2240412	SRS1054758	SRP059689	GSM1868766		Memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028864	GEO	SRX1182557	Illumina HiSeq 2500	cDNA		2015-09-04	86	54	ILLUMINA	2017-01-03	SRR2240413	SRS1054758	SRP059689	GSM1868766		Memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028864	GEO	SRX1182557	Illumina HiSeq 2500	cDNA		2015-09-04	330	243	ILLUMINA	2017-01-03	SRR2240414	SRS1054758	SRP059689	GSM1868766		Memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028864	GEO	SRX1182557	Illumina HiSeq 2500	cDNA		2015-09-04	330	247	ILLUMINA	2017-01-03	SRR2240415	SRS1054758	SRP059689	GSM1868766		Memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028865	GEO	SRX1182558	Illumina HiSeq 2500	cDNA		2015-09-04	94	59	ILLUMINA	2017-01-03	SRR2240416	SRS1054757	SRP059689	GSM1868767		Central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028865	GEO	SRX1182558	Illumina HiSeq 2500	cDNA		2015-09-04	94	59	ILLUMINA	2017-01-03	SRR2240417	SRS1054757	SRP059689	GSM1868767		Central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028865	GEO	SRX1182558	Illumina HiSeq 2500	cDNA		2015-09-04	345	255	ILLUMINA	2017-01-03	SRR2240418	SRS1054757	SRP059689	GSM1868767		Central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028865	GEO	SRX1182558	Illumina HiSeq 2500	cDNA		2015-09-04	346	260	ILLUMINA	2017-01-03	SRR2240419	SRS1054757	SRP059689	GSM1868767		Central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028866	GEO	SRX1182559	Illumina HiSeq 2500	cDNA		2015-09-04	171	109	ILLUMINA	2017-01-03	SRR2240420	SRS1054756	SRP059689	GSM1868768		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028866	GEO	SRX1182559	Illumina HiSeq 2500	cDNA		2015-09-03	171	108	ILLUMINA	2017-01-03	SRR2240421	SRS1054756	SRP059689	GSM1868768		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028866	GEO	SRX1182559	Illumina HiSeq 2500	cDNA		2015-09-04	378	281	ILLUMINA	2017-01-03	SRR2240422	SRS1054756	SRP059689	GSM1868768		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028866	GEO	SRX1182559	Illumina HiSeq 2500	cDNA		2015-09-04	376	285	ILLUMINA	2017-01-03	SRR2240423	SRS1054756	SRP059689	GSM1868768		IL5 secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028867	GEO	SRX1182560	Illumina HiSeq 2500	cDNA		2015-09-04	180	114	ILLUMINA	2017-01-03	SRR2240424	SRS1054755	SRP059689	GSM1868769		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028867	GEO	SRX1182560	Illumina HiSeq 2500	cDNA		2015-09-04	180	113	ILLUMINA	2017-01-03	SRR2240425	SRS1054755	SRP059689	GSM1868769		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028867	GEO	SRX1182560	Illumina HiSeq 2500	cDNA		2015-09-04	359	266	ILLUMINA	2017-01-03	SRR2240426	SRS1054755	SRP059689	GSM1868769		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028867	GEO	SRX1182560	Illumina HiSeq 2500	cDNA		2015-09-04	357	269	ILLUMINA	2017-01-03	SRR2240427	SRS1054755	SRP059689	GSM1868769		IL5 secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028868	GEO	SRX1182561	Illumina HiSeq 2500	cDNA		2015-09-04	186	117	ILLUMINA	2017-01-03	SRR2240428	SRS1054754	SRP059689	GSM1868770		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028868	GEO	SRX1182561	Illumina HiSeq 2500	cDNA		2015-09-03	186	116	ILLUMINA	2017-01-03	SRR2240429	SRS1054754	SRP059689	GSM1868770		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028868	GEO	SRX1182561	Illumina HiSeq 2500	cDNA		2015-09-04	206	153	ILLUMINA	2017-01-03	SRR2240430	SRS1054754	SRP059689	GSM1868770		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028868	GEO	SRX1182561	Illumina HiSeq 2500	cDNA		2015-09-04	207	155	ILLUMINA	2017-01-03	SRR2240431	SRS1054754	SRP059689	GSM1868770		IFNg secreting memory effector CD4 Tcells - CD3+ CD4+ CD45RA- CCR7- IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028869	GEO	SRX1182562	Illumina HiSeq 2500	cDNA		2015-09-04	315	199	ILLUMINA	2017-01-03	SRR2240432	SRS1054753	SRP059689	GSM1868771		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028869	GEO	SRX1182562	Illumina HiSeq 2500	cDNA		2015-09-04	314	198	ILLUMINA	2017-01-03	SRR2240433	SRS1054753	SRP059689	GSM1868771		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
RNA-Seq	51	PRJNA287538	SAMN04028869	GEO	SRX1182562	Illumina HiSeq 2500	cDNA		2015-09-04	9	7	ILLUMINA	2017-01-03	SRR2240434	SRS1054753	SRP059689	GSM1868771		IFNg secreting central memory CD4 Tcells - CD3+ CD4+ CD45RA- CCR7+ IFNG+		Timothy Grass Allergic		Blood draw out of Timothy Grass pollen season	Blood PBMCs					public	sra	ncbi	0	SINGLE	TRANSCRIPTOMIC	Homo sapiens				
