Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	age	cell_type	disease	source_name	tissue	Consent	DATASTORE_provider	LibrarySource	Organism
RNA-Seq		42	PRJNA412227	SAMN07702767	GEO	sra	SRX3217225	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-09-26	1319	867	ILLUMINA	2018-01-08	SRR6077570	SRS2542142	SRP118909	GSM2793992		Monocyte	healthy	Control monocyte cultured in media (RPMI) with 10ng/mL LPS for 24 hours	Adult Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		42	PRJNA412227	SAMN07702766	GEO	sra	SRX3217226	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-09-26	932	559	ILLUMINA	2018-01-08	SRR6077571	SRS2542143	SRP118909	GSM2793993		Monocyte	healthy	Control monocyte sample from peripheral blood of healthy volunteer	Adult Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		42	PRJNA412227	SAMN07702765	GEO	sra	SRX3217227	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-09-26	1025	678	ILLUMINA	2018-01-08	SRR6077572	SRS2542144	SRP118909	GSM2793994		Monocyte	healthy	Control monocyte cultured in media (RPMI) for 24 hours	Adult Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		42	PRJNA412227	SAMN07702764	GEO	sra	SRX3217228	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-09-26	776	431	ILLUMINA	2018-01-08	SRR6077573	SRS2542145	SRP118909	GSM2793995		Monocyte	healthy	Control monocyte cultured in media (RPMI) with 10ng/mL LPS for 24 hours	Adult Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088852	GEO	sra	SRX1249735	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	4256	2873	ILLUMINA	2015-09-30	SRR2420208	SRS1071026	SRP063889	GSM1884757			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088851	GEO	sra	SRX1249734	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	4851	3210	ILLUMINA	2015-09-30	SRR2420206	SRS1071027	SRP063889	GSM1884754			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088845	GEO	sra	SRX1249729	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	4093	2721	ILLUMINA	2015-09-30	SRR2420199	SRS1071028	SRP063889	GSM1884741			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088857	GEO	sra	SRX1249740	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	3625	2492	ILLUMINA	2015-09-30	SRR2420215	SRS1071030	SRP063889	GSM1884770			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088855	GEO	sra	SRX1249738	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	3147	2129	ILLUMINA	2015-09-30	SRR2420212	SRS1071031	SRP063889	GSM1884764			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA296055	SAMN04088856	GEO	sra	SRX1249739	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	2808	1735	ILLUMINA	2015-09-30	SRR2420214	SRS1071032	SRP063889	GSM1884767			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088854	GEO	sra	SRX1249737	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	4771	3173	ILLUMINA	2015-09-30	SRR2420211	SRS1071033	SRP063889	GSM1884762			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088853	GEO	sra	SRX1249736	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	3460	2330	ILLUMINA	2015-09-30	SRR2420209	SRS1071034	SRP063889	GSM1884759			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088850	GEO	sra	SRX1249733	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	4529	2971	ILLUMINA	2015-09-30	SRR2420205	SRS1071035	SRP063889	GSM1884751			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088849	GEO	sra	SRX1249732	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	5621	3761	ILLUMINA	2015-09-30	SRR2420203	SRS1071036	SRP063889	GSM1884749			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088846	GEO	sra	SRX1249730	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	5708	3856	ILLUMINA	2015-09-30	SRR2420200	SRS1071037	SRP063889	GSM1884743			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088848	GEO	sra	SRX1249731	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	5613	3745	ILLUMINA	2015-09-30	SRR2420202	SRS1071038	SRP063889	GSM1884746			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088844	GEO	sra	SRX1249728	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	4634	3083	ILLUMINA	2015-09-30	SRR2420197	SRS1071039	SRP063889	GSM1884738			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088843	GEO	sra	SRX1249727	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	4688	3114	ILLUMINA	2015-09-30	SRR2420196	SRS1071040	SRP063889	GSM1884736			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088842	GEO	sra	SRX1249726	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	3987	2657	ILLUMINA	2015-09-30	SRR2420194	SRS1071041	SRP063889	GSM1884735			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088841	GEO	sra	SRX1249725	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	5173	3440	ILLUMINA	2015-09-30	SRR2420193	SRS1071042	SRP063889	GSM1884734			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		102	PRJNA296055	SAMN04088840	GEO	sra	SRX1249724	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-09-16	4079	2712	ILLUMINA	2015-09-30	SRR2420191	SRS1071043	SRP063889	GSM1884733			Healthy donor	Adipose-derived mesenchymal stromal cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425471		sra	SRX2006093	0	Illumina HiSeq 2000	PAIRED	cDNA	CN1_Mb	2017-08-06	12367	10056	ILLUMINA	2017-08-06	SRR4007738	SRS1605041	SRP078945	CN1_Mb	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425472		sra	SRX2006094	0	Illumina HiSeq 2000	PAIRED	cDNA	CN1_Mt1	2017-09-27	3357	2736	ILLUMINA	2017-09-27	SRR4007739	SRS1605042	SRP078945	CN1_Mt1	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425481		sra	SRX2006095	0	Illumina HiSeq 2000	PAIRED	cDNA	CN2_Mt1	2017-09-28	3547	2849	ILLUMINA	2017-09-28	SRR4007740	SRS1605043	SRP078945	CN2_Mt1	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425482		sra	SRX2006096	0	Illumina HiSeq 2000	PAIRED	cDNA	CN2_Mt2	2017-09-28	3724	2988	ILLUMINA	2017-09-28	SRR4007741	SRS1605044	SRP078945	CN2_Mt2	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425483		sra	SRX2006097	0	Illumina HiSeq 2000	PAIRED	cDNA	CN2_Mt3	2017-09-28	3805	3034	ILLUMINA	2017-09-28	SRR4007742	SRS1605045	SRP078945	CN2_Mt3	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425484		sra	SRX2006098	0	Illumina HiSeq 2000	PAIRED	cDNA	CN2_Mt4	2017-09-28	4174	3335	ILLUMINA	2017-09-28	SRR4007743	SRS1605046	SRP078945	CN2_Mt4	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425485		sra	SRX2006099	0	Illumina HiSeq 2000	PAIRED	cDNA	CN2_Mt6	2017-09-28	426	276	ILLUMINA	2017-09-28	SRR4007744	SRS1605047	SRP078945	CN2_Mt6	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425486		sra	SRX2006100	0	Illumina HiSeq 2000	PAIRED	cDNA	CN2_Mt8	2017-09-28	3639	2860	ILLUMINA	2017-09-28	SRR4007745	SRS1605048	SRP078945	CN2_Mt8	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		42	PRJNA412227	SAMN07702771	GEO	sra	SRX3217221	0	Illumina HiSeq 2000	SINGLE	cDNA		2017-09-26	1118	741	ILLUMINA	2018-01-08	SRR6077566	SRS2542192	SRP118909	GSM2793988		Monocyte	healthy	Control monocyte cultured in media (RPMI) for 24 hours	Adult Peripheral Blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA310988	SAMN04457501	GEO	sra	SRX1562194	0	Illumina HiSeq 2000	PAIRED	cDNA		2016-02-05	4549	3059	ILLUMINA	2016-02-08	SRR3146474	SRS1276822	SRP069333	GSM2054990			healthy control	Purified human monocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA310988	SAMN04457501	GEO	sra	SRX1562194	0	Illumina HiSeq 2000	PAIRED	cDNA		2016-02-05	4593	3105	ILLUMINA	2016-02-08	SRR3146475	SRS1276822	SRP069333	GSM2054990			healthy control	Purified human monocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA310988	SAMN04457501	GEO	sra	SRX1562194	0	Illumina HiSeq 2000	PAIRED	cDNA		2016-02-05	4533	3045	ILLUMINA	2016-02-08	SRR3146476	SRS1276822	SRP069333	GSM2054990			healthy control	Purified human monocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA310988	SAMN04457500	GEO	sra	SRX1562193	0	Illumina HiSeq 2000	PAIRED	cDNA		2016-02-05	4966	3350	ILLUMINA	2016-02-08	SRR3146471	SRS1276824	SRP069333	GSM2054989			healthy control	Purified human monocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA310988	SAMN04457500	GEO	sra	SRX1562193	0	Illumina HiSeq 2000	PAIRED	cDNA		2016-02-05	5000	3391	ILLUMINA	2016-02-08	SRR3146472	SRS1276824	SRP069333	GSM2054989			healthy control	Purified human monocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA310988	SAMN04457500	GEO	sra	SRX1562193	0	Illumina HiSeq 2000	PAIRED	cDNA		2016-02-05	4918	3314	ILLUMINA	2016-02-08	SRR3146473	SRS1276824	SRP069333	GSM2054989			healthy control	Purified human monocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA310988	SAMN04457499	GEO	sra	SRX1562192	0	Illumina HiSeq 2000	PAIRED	cDNA		2016-02-05	4675	3150	ILLUMINA	2016-02-08	SRR3146468	SRS1276825	SRP069333	GSM2054988			healthy control	Purified human monocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425487		sra	SRX2006101	0	Illumina HiSeq 2000	PAIRED	cDNA	CN2_Mt10	2017-09-28	3950	3153	ILLUMINA	2017-09-28	SRR4007746	SRS1605049	SRP078945	CN2_Mt10	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425488		sra	SRX2006102	0	Illumina HiSeq 2000	PAIRED	cDNA	CN2_Mt12	2017-09-28	5394	4297	ILLUMINA	2017-09-28	SRR4007747	SRS1605050	SRP078945	CN2_Mt12	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425489		sra	SRX2006103	0	Illumina HiSeq 2000	PAIRED	cDNA	CN5_Mb	2017-09-28	5024	3994	ILLUMINA	2017-09-28	SRR4007748	SRS1605051	SRP078945	CN5_Mb	4 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425490		sra	SRX2006104	0	Illumina HiSeq 2000	PAIRED	cDNA	CN5_Mt1	2017-09-28	5103	4060	ILLUMINA	2017-09-28	SRR4007749	SRS1605052	SRP078945	CN5_Mt1	4 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425473		sra	SRX2006105	0	Illumina HiSeq 2000	PAIRED	cDNA	CN1_Mt2	2017-09-28	3902	3188	ILLUMINA	2017-09-28	SRR4007750	SRS1605053	SRP078945	CN1_Mt2	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425491		sra	SRX2006106	0	Illumina HiSeq 2000	PAIRED	cDNA	CN5_Mt2	2017-09-28	7025	5576	ILLUMINA	2017-09-28	SRR4007751	SRS1605054	SRP078945	CN5_Mt2	4 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425492		sra	SRX2006107	0	Illumina HiSeq 2000	PAIRED	cDNA	CN5_Mt3	2017-09-28	0	0	ILLUMINA	2017-09-28	SRR4007752	SRS1605055	SRP078945	CN5_Mt3	4 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425493		sra	SRX2006108	0	Illumina HiSeq 2000	PAIRED	cDNA	CN5_Mt4	2017-09-28	3835	3057	ILLUMINA	2017-09-28	SRR4007753	SRS1605056	SRP078945	CN5_Mt4	4 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425494		sra	SRX2006109	0	Illumina HiSeq 2000	PAIRED	cDNA	CN5_Mt6	2017-09-28	4008	3191	ILLUMINA	2017-09-28	SRR4007754	SRS1605057	SRP078945	CN5_Mt6	4 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425495		sra	SRX2006110	0	Illumina HiSeq 2000	PAIRED	cDNA	CN5_Mt8	2017-09-28	3213	2624	ILLUMINA	2017-09-28	SRR4007755	SRS1605058	SRP078945	CN5_Mt8	4 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425497		sra	SRX2006112	0	Illumina HiSeq 2000	PAIRED	cDNA	CN5_Mt12	2017-09-28	3778	3088	ILLUMINA	2017-09-28	SRR4007757	SRS1605059	SRP078945	CN5_Mt12	4 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425496		sra	SRX2006111	0	Illumina HiSeq 2000	PAIRED	cDNA	CN5_Mt10	2017-09-28	2955	2397	ILLUMINA	2017-09-28	SRR4007756	SRS1605060	SRP078945	CN5_Mt10	4 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425474		sra	SRX2006116	0	Illumina HiSeq 2000	PAIRED	cDNA	CN1_Mt3	2017-09-28	4005	3242	ILLUMINA	2017-09-28	SRR4007761	SRS1605064	SRP078945	CN1_Mt3	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425475		sra	SRX2006127	0	Illumina HiSeq 2000	PAIRED	cDNA	CN1_Mt4	2017-09-28	6439	5241	ILLUMINA	2017-09-28	SRR4007772	SRS1605075	SRP078945	CN1_Mt4	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425476		sra	SRX2006138	0	Illumina HiSeq 2000	PAIRED	cDNA	CN1_Mt6	2017-09-28	3926	3204	ILLUMINA	2017-09-28	SRR4007783	SRS1605086	SRP078945	CN1_Mt6	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425477		sra	SRX2006143	0	Illumina HiSeq 2000	PAIRED	cDNA	CN1_Mt8	2017-09-28	4309	3457	ILLUMINA	2017-09-28	SRR4007788	SRS1605091	SRP078945	CN1_Mt8	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425478		sra	SRX2006144	0	Illumina HiSeq 2000	PAIRED	cDNA	CN1_Mt10	2017-09-28	6750	5423	ILLUMINA	2017-09-28	SRR4007789	SRS1605092	SRP078945	CN1_Mt10	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425479		sra	SRX2006145	0	Illumina HiSeq 2000	PAIRED	cDNA	CN1_Mt12	2017-09-28	4162	3334	ILLUMINA	2017-09-28	SRR4007790	SRS1605093	SRP078945	CN1_Mt12	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		197	PRJNA329180	SAMN05425480		sra	SRX2006146	0	Illumina HiSeq 2000	PAIRED	cDNA	CN2_Mb	2017-09-28	3754	3011	ILLUMINA	2017-09-28	SRR4007791	SRS1605094	SRP078945	CN2_Mb	3 years old	Myoblasts	healthy donor		Skeletal Muscle	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA310988	SAMN04457499	GEO	sra	SRX1562192	0	Illumina HiSeq 2000	PAIRED	cDNA		2016-02-05	4695	3181	ILLUMINA	2016-02-08	SRR3146469	SRS1276825	SRP069333	GSM2054988			healthy control	Purified human monocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA310988	SAMN04457499	GEO	sra	SRX1562192	0	Illumina HiSeq 2000	PAIRED	cDNA		2016-02-05	4617	3109	ILLUMINA	2016-02-08	SRR3146470	SRS1276825	SRP069333	GSM2054988			healthy control	Purified human monocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016559	GEO	sra	SRX2347715	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2130	992	ILLUMINA	2017-08-15	SRR5019883	SRS1797987	SRP093349	GSM2390709			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016558	GEO	sra	SRX2347716	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2125	1010	ILLUMINA	2017-08-15	SRR5019884	SRS1797988	SRP093349	GSM2390710			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016557	GEO	sra	SRX2347717	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2230	1003	ILLUMINA	2017-08-15	SRR5019885	SRS1797989	SRP093349	GSM2390711			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016556	GEO	sra	SRX2347718	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	1735	801	ILLUMINA	2017-08-15	SRR5019886	SRS1797990	SRP093349	GSM2390712			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016554	GEO	sra	SRX2347719	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2345	1055	ILLUMINA	2017-08-15	SRR5019887	SRS1797991	SRP093349	GSM2390713			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016553	GEO	sra	SRX2347720	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2089	957	ILLUMINA	2017-08-15	SRR5019888	SRS1797992	SRP093349	GSM2390714			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016552	GEO	sra	SRX2347721	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2127	991	ILLUMINA	2017-08-15	SRR5019889	SRS1797993	SRP093349	GSM2390715			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016551	GEO	sra	SRX2347722	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	1910	883	ILLUMINA	2017-08-15	SRR5019890	SRS1797994	SRP093349	GSM2390716			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016550	GEO	sra	SRX2347723	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	1902	877	ILLUMINA	2017-08-15	SRR5019891	SRS1797995	SRP093349	GSM2390717			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016548	GEO	sra	SRX2347724	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	1857	859	ILLUMINA	2017-08-15	SRR5019892	SRS1797996	SRP093349	GSM2390718			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016547	GEO	sra	SRX2347725	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2268	1046	ILLUMINA	2017-08-15	SRR5019893	SRS1797997	SRP093349	GSM2390719			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016545	GEO	sra	SRX2347726	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2207	1023	ILLUMINA	2017-08-15	SRR5019894	SRS1797998	SRP093349	GSM2390720			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016544	GEO	sra	SRX2347727	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2581	1168	ILLUMINA	2017-08-15	SRR5019895	SRS1797999	SRP093349	GSM2390721			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016543	GEO	sra	SRX2347728	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2297	1040	ILLUMINA	2017-08-15	SRR5019896	SRS1798000	SRP093349	GSM2390722			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		100	PRJNA353588	SAMN06016542	GEO	sra	SRX2347729	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	1771	823	ILLUMINA	2017-08-15	SRR5019897	SRS1798001	SRP093349	GSM2390723			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA353588	SAMN06016541	GEO	sra	SRX2347730	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2595	1227	ILLUMINA	2017-08-15	SRR5019898	SRS1798002	SRP093349	GSM2390724			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA353588	SAMN06016540	GEO	sra	SRX2347731	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2475	1139	ILLUMINA	2017-08-15	SRR5019899	SRS1798003	SRP093349	GSM2390725			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA353588	SAMN06016538	GEO	sra	SRX2347732	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	1989	922	ILLUMINA	2017-08-15	SRR5019900	SRS1798004	SRP093349	GSM2390726			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA353588	SAMN06016537	GEO	sra	SRX2347733	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	2125	982	ILLUMINA	2017-08-15	SRR5019901	SRS1798005	SRP093349	GSM2390727			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA353588	SAMN06016536	GEO	sra	SRX2347734	0	Illumina HiSeq 2500	SINGLE	cDNA		2016-11-15	1678	789	ILLUMINA	2017-08-15	SRR5019902	SRS1798006	SRP093349	GSM2390728			Healthy Control	Thrombocytes		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
