Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	drug	library_construction	source_name	Consent	DATASTORE_provider	LibrarySource	Organism
RNA-Seq		65	PRJNA381890	SAMN06690628	GEO	sra	SRX2713606	0	NextSeq 500	SINGLE	cDNA		2017-04-06	238	125	ILLUMINA	2017-04-13	SRR5422102	SRS2104816	SRP103204	GSM2565018	Idarubicin HCl	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690627	GEO	sra	SRX2713607	0	NextSeq 500	SINGLE	cDNA		2017-04-06	205	108	ILLUMINA	2017-04-13	SRR5422103	SRS2104818	SRP103204	GSM2565019	Aprepitant (MK - 0869)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690626	GEO	sra	SRX2713608	0	NextSeq 500	SINGLE	cDNA		2017-04-06	206	108	ILLUMINA	2017-04-13	SRR5422104	SRS2104819	SRP103204	GSM2565020	Gemcitabine HCl (Gemzar)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690625	GEO	sra	SRX2713609	0	NextSeq 500	SINGLE	cDNA		2017-04-06	223	117	ILLUMINA	2017-04-13	SRR5422105	SRS2104820	SRP103204	GSM2565021	Bortezomib (Velcade)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690624	GEO	sra	SRX2713610	0	NextSeq 500	SINGLE	cDNA		2017-04-06	176	92	ILLUMINA	2017-04-13	SRR5422106	SRS2104821	SRP103204	GSM2565022	DMSO	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690623	GEO	sra	SRX2713611	0	NextSeq 500	SINGLE	cDNA		2017-04-06	206	108	ILLUMINA	2017-04-13	SRR5422107	SRS2104822	SRP103204	GSM2565023	Mitoxantrone Hydrochloride	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690622	GEO	sra	SRX2713612	0	NextSeq 500	SINGLE	cDNA		2017-04-06	161	84	ILLUMINA	2017-04-13	SRR5422108	SRS2104823	SRP103204	GSM2565024	Crizotinib	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690621	GEO	sra	SRX2713613	0	NextSeq 500	SINGLE	cDNA		2017-04-06	133	69	ILLUMINA	2017-04-13	SRR5422109	SRS2104824	SRP103204	GSM2565025	Albendazole (Albenza)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690620	GEO	sra	SRX2713614	0	NextSeq 500	SINGLE	cDNA		2017-04-06	224	117	ILLUMINA	2017-04-13	SRR5422110	SRS2104825	SRP103204	GSM2565026	Idarubicin HCl	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690619	GEO	sra	SRX2713615	0	NextSeq 500	SINGLE	cDNA		2017-04-06	208	109	ILLUMINA	2017-04-13	SRR5422111	SRS2104826	SRP103204	GSM2565027	Aprepitant (MK - 0869)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690618	GEO	sra	SRX2713616	0	NextSeq 500	SINGLE	cDNA		2017-04-06	190	99	ILLUMINA	2017-04-13	SRR5422112	SRS2104827	SRP103204	GSM2565028	Gemcitabine HCl (Gemzar)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690617	GEO	sra	SRX2713617	0	NextSeq 500	SINGLE	cDNA		2017-04-06	174	91	ILLUMINA	2017-04-13	SRR5422113	SRS2104828	SRP103204	GSM2565029	Bortezomib (Velcade)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690616	GEO	sra	SRX2713618	0	NextSeq 500	SINGLE	cDNA		2017-04-06	182	96	ILLUMINA	2017-04-13	SRR5422114	SRS2104829	SRP103204	GSM2565030	DMSO	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690615	GEO	sra	SRX2713619	0	NextSeq 500	SINGLE	cDNA		2017-04-06	194	101	ILLUMINA	2017-04-13	SRR5422115	SRS2104830	SRP103204	GSM2565031	Mitoxantrone Hydrochloride	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690614	GEO	sra	SRX2713620	0	NextSeq 500	SINGLE	cDNA		2017-04-06	147	77	ILLUMINA	2017-04-13	SRR5422116	SRS2104832	SRP103204	GSM2565032	Crizotinib	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690613	GEO	sra	SRX2713621	0	NextSeq 500	SINGLE	cDNA		2017-04-06	151	79	ILLUMINA	2017-04-13	SRR5422117	SRS2104831	SRP103204	GSM2565033	Albendazole (Albenza)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690612	GEO	sra	SRX2713622	0	NextSeq 500	SINGLE	cDNA		2017-04-06	228	120	ILLUMINA	2017-04-13	SRR5422118	SRS2104833	SRP103204	GSM2565034	Idarubicin HCl	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690611	GEO	sra	SRX2713623	0	NextSeq 500	SINGLE	cDNA		2017-04-06	218	114	ILLUMINA	2017-04-13	SRR5422119	SRS2104834	SRP103204	GSM2565035	Aprepitant (MK - 0869)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690610	GEO	sra	SRX2713624	0	NextSeq 500	SINGLE	cDNA		2017-04-06	194	102	ILLUMINA	2017-04-13	SRR5422120	SRS2104835	SRP103204	GSM2565036	Gemcitabine HCl (Gemzar)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690609	GEO	sra	SRX2713625	0	NextSeq 500	SINGLE	cDNA		2017-04-06	218	114	ILLUMINA	2017-04-13	SRR5422121	SRS2104836	SRP103204	GSM2565037	Bortezomib (Velcade)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690663	GEO	sra	SRX2713626	0	NextSeq 500	SINGLE	cDNA		2017-04-06	165	87	ILLUMINA	2017-04-13	SRR5422122	SRS2104838	SRP103204	GSM2565038	DMSO	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690662	GEO	sra	SRX2713627	0	NextSeq 500	SINGLE	cDNA		2017-04-06	236	124	ILLUMINA	2017-04-13	SRR5422123	SRS2104837	SRP103204	GSM2565039	Mitoxantrone Hydrochloride	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690661	GEO	sra	SRX2713628	0	NextSeq 500	SINGLE	cDNA		2017-04-06	151	79	ILLUMINA	2017-04-13	SRR5422124	SRS2104840	SRP103204	GSM2565040	Crizotinib	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690660	GEO	sra	SRX2713629	0	NextSeq 500	SINGLE	cDNA		2017-04-06	189	99	ILLUMINA	2017-04-13	SRR5422125	SRS2104839	SRP103204	GSM2565041	Albendazole (Albenza)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690659	GEO	sra	SRX2713630	0	NextSeq 500	SINGLE	cDNA		2017-04-06	224	118	ILLUMINA	2017-04-13	SRR5422126	SRS2104841	SRP103204	GSM2565042	Idarubicin HCl	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690658	GEO	sra	SRX2713631	0	NextSeq 500	SINGLE	cDNA		2017-04-06	239	125	ILLUMINA	2017-04-13	SRR5422127	SRS2104842	SRP103204	GSM2565043	Aprepitant (MK - 0869)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690657	GEO	sra	SRX2713632	0	NextSeq 500	SINGLE	cDNA		2017-04-06	230	121	ILLUMINA	2017-04-13	SRR5422128	SRS2104843	SRP103204	GSM2565044	Gemcitabine HCl (Gemzar)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690586	GEO	sra	SRX2713633	0	NextSeq 500	SINGLE	cDNA		2017-04-06	193	101	ILLUMINA	2017-04-13	SRR5422129	SRS2104845	SRP103204	GSM2565045	Bortezomib (Velcade)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690585	GEO	sra	SRX2713634	0	NextSeq 500	SINGLE	cDNA		2017-04-06	167	88	ILLUMINA	2017-04-13	SRR5422130	SRS2104844	SRP103204	GSM2565046	DMSO	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690584	GEO	sra	SRX2713635	0	NextSeq 500	SINGLE	cDNA		2017-04-06	172	90	ILLUMINA	2017-04-13	SRR5422131	SRS2104846	SRP103204	GSM2565047	Mitoxantrone Hydrochloride	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690583	GEO	sra	SRX2713636	0	NextSeq 500	SINGLE	cDNA		2017-04-06	174	91	ILLUMINA	2017-04-13	SRR5422132	SRS2104847	SRP103204	GSM2565048	Crizotinib	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690582	GEO	sra	SRX2713637	0	NextSeq 500	SINGLE	cDNA		2017-04-06	185	97	ILLUMINA	2017-04-13	SRR5422133	SRS2104848	SRP103204	GSM2565049	Albendazole (Albenza)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690581	GEO	sra	SRX2713638	0	NextSeq 500	SINGLE	cDNA		2017-04-06	190	100	ILLUMINA	2017-04-13	SRR5422134	SRS2104849	SRP103204	GSM2565050	Idarubicin HCl	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690580	GEO	sra	SRX2713639	0	NextSeq 500	SINGLE	cDNA		2017-04-06	221	116	ILLUMINA	2017-04-13	SRR5422135	SRS2104850	SRP103204	GSM2565051	Aprepitant (MK - 0869)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690579	GEO	sra	SRX2713640	0	NextSeq 500	SINGLE	cDNA		2017-04-06	207	108	ILLUMINA	2017-04-13	SRR5422136	SRS2104851	SRP103204	GSM2565052	Gemcitabine HCl (Gemzar)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690578	GEO	sra	SRX2713641	0	NextSeq 500	SINGLE	cDNA		2017-04-06	207	109	ILLUMINA	2017-04-13	SRR5422137	SRS2104852	SRP103204	GSM2565053	Bortezomib (Velcade)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690577	GEO	sra	SRX2713642	0	NextSeq 500	SINGLE	cDNA		2017-04-06	206	108	ILLUMINA	2017-04-13	SRR5422138	SRS2104854	SRP103204	GSM2565054	DMSO	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690576	GEO	sra	SRX2713643	0	NextSeq 500	SINGLE	cDNA		2017-04-06	177	93	ILLUMINA	2017-04-13	SRR5422139	SRS2104853	SRP103204	GSM2565055	Mitoxantrone Hydrochloride	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690575	GEO	sra	SRX2713644	0	NextSeq 500	SINGLE	cDNA		2017-04-06	171	90	ILLUMINA	2017-04-13	SRR5422140	SRS2104855	SRP103204	GSM2565056	Crizotinib	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690574	GEO	sra	SRX2713645	0	NextSeq 500	SINGLE	cDNA		2017-04-06	173	91	ILLUMINA	2017-04-13	SRR5422141	SRS2104857	SRP103204	GSM2565057	Albendazole (Albenza)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690573	GEO	sra	SRX2713646	0	NextSeq 500	SINGLE	cDNA		2017-04-06	227	119	ILLUMINA	2017-04-13	SRR5422142	SRS2104856	SRP103204	GSM2565058	Idarubicin HCl	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690572	GEO	sra	SRX2713647	0	NextSeq 500	SINGLE	cDNA		2017-04-06	189	99	ILLUMINA	2017-04-13	SRR5422143	SRS2104858	SRP103204	GSM2565059	Aprepitant (MK - 0869)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690571	GEO	sra	SRX2713648	0	NextSeq 500	SINGLE	cDNA		2017-04-06	202	106	ILLUMINA	2017-04-13	SRR5422144	SRS2104859	SRP103204	GSM2565060	Gemcitabine HCl (Gemzar)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690570	GEO	sra	SRX2713649	0	NextSeq 500	SINGLE	cDNA		2017-04-06	215	113	ILLUMINA	2017-04-13	SRR5422145	SRS2104860	SRP103204	GSM2565061	Bortezomib (Velcade)	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		65	PRJNA381890	SAMN06690569	GEO	sra	SRX2713650	0	NextSeq 500	SINGLE	cDNA		2017-04-06	184	96	ILLUMINA	2017-04-13	SRR5422146	SRS2104861	SRP103204	GSM2565062	DMSO	PLATE-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690568	GEO	sra	SRX2713651	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	2883	1019	ILLUMINA	2017-04-13	SRR5422147	SRS2104862	SRP103204	GSM2565063	Mitoxantrone Hydrochloride	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690567	GEO	sra	SRX2713652	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	3000	1063	ILLUMINA	2017-04-13	SRR5422148	SRS2104863	SRP103204	GSM2565064	Mitoxantrone Hydrochloride	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690566	GEO	sra	SRX2713653	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	2136	759	ILLUMINA	2017-04-13	SRR5422149	SRS2104864	SRP103204	GSM2565065	Crizotinib	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690565	GEO	sra	SRX2713654	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	2485	889	ILLUMINA	2017-04-13	SRR5422150	SRS2104865	SRP103204	GSM2565066	Crizotinib	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690564	GEO	sra	SRX2713655	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	2841	1011	ILLUMINA	2017-04-13	SRR5422151	SRS2104866	SRP103204	GSM2565067	Albendazole (Albenza)	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690563	GEO	sra	SRX2713656	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	2936	1037	ILLUMINA	2017-04-13	SRR5422152	SRS2104867	SRP103204	GSM2565068	Albendazole (Albenza)	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690491	GEO	sra	SRX2713657	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	3510	1251	ILLUMINA	2017-04-13	SRR5422153	SRS2104868	SRP103204	GSM2565069	Idarubicin HCl	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690490	GEO	sra	SRX2713658	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	3556	1260	ILLUMINA	2017-04-13	SRR5422154	SRS2104869	SRP103204	GSM2565070	Idarubicin HCl	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690489	GEO	sra	SRX2713659	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	3497	1239	ILLUMINA	2017-04-13	SRR5422155	SRS2104870	SRP103204	GSM2565071	Aprepitant (MK - 0869)	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690656	GEO	sra	SRX2713660	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	2725	1009	ILLUMINA	2017-04-13	SRR5422156	SRS2104871	SRP103204	GSM2565072	Aprepitant (MK - 0869)	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690655	GEO	sra	SRX2713661	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	3033	1122	ILLUMINA	2017-04-13	SRR5422157	SRS2104872	SRP103204	GSM2565073	Gemcitabine HCl (Gemzar)	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690654	GEO	sra	SRX2713662	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	2832	1049	ILLUMINA	2017-04-13	SRR5422158	SRS2104873	SRP103204	GSM2565074	Gemcitabine HCl (Gemzar)	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690434	GEO	sra	SRX2713663	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	3355	1240	ILLUMINA	2017-04-13	SRR5422159	SRS2104874	SRP103204	GSM2565075	Bortezomib (Velcade)	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690433	GEO	sra	SRX2713664	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	3374	1247	ILLUMINA	2017-04-13	SRR5422160	SRS2104875	SRP103204	GSM2565076	Bortezomib (Velcade)	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690432	GEO	sra	SRX2713665	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	3185	1177	ILLUMINA	2017-04-13	SRR5422161	SRS2104876	SRP103204	GSM2565077	DMSO	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		101	PRJNA381890	SAMN06690431	GEO	sra	SRX2713666	0	Illumina HiSeq 2500	SINGLE	cDNA		2017-04-06	2988	1104	ILLUMINA	2017-04-13	SRR5422162	SRS2104878	SRP103204	GSM2565078	DMSO	Illumina TruSeq RNA-Seq	BT20 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690430	GEO	sra	SRX2713667	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	84	44	ILLUMINA	2017-04-13	SRR5422163	SRS2104877	SRP103204	GSM2565079	Bortezomib	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690429	GEO	sra	SRX2713668	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	56	31	ILLUMINA	2017-04-13	SRR5422164	SRS2104879	SRP103204	GSM2565080	Ixazomib (MLN2238)	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690428	GEO	sra	SRX2713669	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	88	47	ILLUMINA	2017-04-13	SRR5422165	SRS2104880	SRP103204	GSM2565081	Azacitidine	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690427	GEO	sra	SRX2713670	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	65	35	ILLUMINA	2017-04-13	SRR5422166	SRS2104884	SRP103204	GSM2565082	Ixabepilone	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690608	GEO	sra	SRX2713671	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	99	53	ILLUMINA	2017-04-13	SRR5422167	SRS2104881	SRP103204	GSM2565083	Cobimetinib (GDC-0973, RG7420)	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690607	GEO	sra	SRX2713672	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	63	34	ILLUMINA	2017-04-13	SRR5422168	SRS2104882	SRP103204	GSM2565084	Thioguanine	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690606	GEO	sra	SRX2713673	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	51	28	ILLUMINA	2017-04-13	SRR5422169	SRS2104883	SRP103204	GSM2565085	Idarubicin	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690605	GEO	sra	SRX2713674	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	27	15	ILLUMINA	2017-04-13	SRR5422170	SRS2104888	SRP103204	GSM2565086	Belinostat	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690604	GEO	sra	SRX2713675	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	58	32	ILLUMINA	2017-04-13	SRR5422171	SRS2104885	SRP103204	GSM2565087	Sorafenib	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690603	GEO	sra	SRX2713676	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	40	22	ILLUMINA	2017-04-13	SRR5422172	SRS2104887	SRP103204	GSM2565088	Melphalan	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690602	GEO	sra	SRX2713677	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	63	35	ILLUMINA	2017-04-13	SRR5422173	SRS2104886	SRP103204	GSM2565089	Lenalidomide	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690601	GEO	sra	SRX2713678	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	52	28	ILLUMINA	2017-04-13	SRR5422174	SRS2104889	SRP103204	GSM2565090	Cabozantinib - XL 184	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690600	GEO	sra	SRX2713679	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	94	50	ILLUMINA	2017-04-13	SRR5422175	SRS2104890	SRP103204	GSM2565091	Fulvestrant	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690599	GEO	sra	SRX2713680	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	74	40	ILLUMINA	2017-04-13	SRR5422176	SRS2104891	SRP103204	GSM2565092	Panobinostat (LBH589)	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690598	GEO	sra	SRX2713681	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	85	46	ILLUMINA	2017-04-13	SRR5422177	SRS2104892	SRP103204	GSM2565093	Arsenic trioxide	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690597	GEO	sra	SRX2713682	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	45	25	ILLUMINA	2017-04-13	SRR5422178	SRS2104893	SRP103204	GSM2565094	Paclitaxel	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		49	PRJNA381890	SAMN06690596	GEO	sra	SRX2713683	0	Illumina HiSeq 4000	SINGLE	cDNA		2017-04-06	71	38	ILLUMINA	2017-04-13	SRR5422179	SRS2104896	SRP103204	GSM2565095	Mercaptopurine	PLATE-Seq	U87 cell line	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
