Assay_Type	AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_filetype	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	cell_type	source_name	tissue	Consent	DATASTORE_provider	LibrarySource	Organism
RNA-Seq		200	PRJNA229548	SAMN02419522	GEO	sra	SRX381869	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-11-22	3695	2603	ILLUMINA	2014-02-06	SRR1036137	SRS506084	SRP033266	GSM1273640	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA229548	SAMN02419523	GEO	sra	SRX381870	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-11-22	2820	1717	ILLUMINA	2014-02-06	SRR1036138	SRS506085	SRP033266	GSM1273641	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA229548	SAMN02419523	GEO	sra	SRX381870	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-11-22	2684	1624	ILLUMINA	2014-02-06	SRR1036139	SRS506085	SRP033266	GSM1273641	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA229548	SAMN02419523	GEO	sra	SRX381870	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-11-22	2826	1722	ILLUMINA	2014-02-06	SRR1036140	SRS506085	SRP033266	GSM1273641	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA229548	SAMN02419523	GEO	sra	SRX381870	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-11-22	2617	1576	ILLUMINA	2014-02-06	SRR1036141	SRS506085	SRP033266	GSM1273641	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA229548	SAMN02419523	GEO	sra	SRX381870	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-11-22	2752	1671	ILLUMINA	2014-02-06	SRR1036142	SRS506085	SRP033266	GSM1273641	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA229548	SAMN02419523	GEO	sra	SRX381870	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-11-22	2868	1750	ILLUMINA	2014-02-06	SRR1036143	SRS506085	SRP033266	GSM1273641	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA229548	SAMN02419523	GEO	sra	SRX381870	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-11-22	2902	1774	ILLUMINA	2014-02-06	SRR1036144	SRS506085	SRP033266	GSM1273641	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA229548	SAMN02419523	GEO	sra	SRX381870	0	Illumina HiSeq 2000	PAIRED	cDNA		2013-11-22	3052	1883	ILLUMINA	2014-02-06	SRR1036145	SRS506085	SRP033266	GSM1273641	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		162	PRJNA233646	SAMN02570521	BEIJING INSTITUTE OF GENOMICS	sra	SRX423978	0	Illumina Genome Analyzer IIx	PAIRED	cDNA		2015-12-11	17734	11295	ILLUMINA	2015-07-22	SRR1104902	SRS527902	SRP035252	PT_Leukemia	CD56+CD64+ leukemia cells		peripheral blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJNA236604	SAMN02598687	GEO	sra	SRX451083	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-01-29	8762	5572	ILLUMINA	2014-09-24	SRR1145838	SRS544418	SRP035930	GSM1316401		RNA_seq replicate 1 from Kasumi1 cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJNA236604	SAMN02598682	GEO	sra	SRX451084	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-01-29	7379	4717	ILLUMINA	2014-09-24	SRR1145839	SRS544419	SRP035930	GSM1316402		RNA_seq replicate 2 from Kasumi1 cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJNA236604	SAMN02598684	GEO	sra	SRX451085	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-01-29	8817	5606	ILLUMINA	2014-09-24	SRR1145840	SRS544420	SRP035930	GSM1316403		RNA_seq replicate 3 from Kasumi1 cells		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJNA236604	SAMN02598685	GEO	sra	SRX451087	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-01-29	8187	5233	ILLUMINA	2014-09-24	SRR1145842	SRS544422	SRP035930	GSM1316405		RNA_seq replicate 2 from Kasumi1 cells after RUNX1/ETO knockdown		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJNA236604	SAMN02598683	GEO	sra	SRX451088	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-01-29	8084	5155	ILLUMINA	2014-09-24	SRR1145843	SRS544423	SRP035930	GSM1316406		RNA_seq replicate 3 from Kasumi1 cells after RUNX1/ETO knockdown		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		202	PRJNA236604	SAMN02598686	GEO	sra	SRX451086	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-01-29	7362	4654	ILLUMINA	2014-09-24	SRR1145841	SRS544424	SRP035930	GSM1316404		RNA_seq replicate 1 from Kasumi1 cells after RUNX1/ETO knockdown		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA263366	SAMN03099702	GEO	sra	SRX728764	0	Illumina HiSeq 2000	SINGLE	cDNA		2014-10-08	2358	1647	ILLUMINA	2015-12-11	SRR1607712	SRS718269	SRP048744	GSM1520903	human acute monocytic leukemia (AML) cell line	THP1_control_RNA-seq		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA263366	SAMN03099703	GEO	sra	SRX728765	0	Illumina HiSeq 2000	SINGLE	cDNA		2014-10-08	1842	1290	ILLUMINA	2015-12-11	SRR1607713	SRS718270	SRP048744	GSM1520904	human acute monocytic leukemia (AML) cell line	THP1_control_RNA-seq		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA263366	SAMN03099704	GEO	sra	SRX728766	0	Illumina HiSeq 2000	SINGLE	cDNA		2014-10-08	2199	1537	ILLUMINA	2015-12-11	SRR1607714	SRS718271	SRP048744	GSM1520905	human acute monocytic leukemia (AML) cell line	THP1_PAF1KD_RNA-seq		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		51	PRJNA263366	SAMN03099705	GEO	sra	SRX728767	0	Illumina HiSeq 2000	SINGLE	cDNA		2014-10-08	3102	2165	ILLUMINA	2015-12-11	SRR1607715	SRS718272	SRP048744	GSM1520906	human acute monocytic leukemia (AML) cell line	THP1_PAF1KD_RNA-seq		public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100201	GEO	sra	SRX729552	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5225	3264	ILLUMINA	2015-07-10	SRR1608490	SRS718878	SRP048759	GSM1521543	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100201	GEO	sra	SRX729552	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5228	3266	ILLUMINA	2015-07-10	SRR1608491	SRS718878	SRP048759	GSM1521543	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100201	GEO	sra	SRX729552	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	4896	3051	ILLUMINA	2015-07-10	SRR1608492	SRS718878	SRP048759	GSM1521543	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100201	GEO	sra	SRX729552	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5408	3422	ILLUMINA	2015-07-10	SRR1608493	SRS718878	SRP048759	GSM1521543	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100202	GEO	sra	SRX729553	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5097	3215	ILLUMINA	2015-07-10	SRR1608494	SRS718879	SRP048759	GSM1521544	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100202	GEO	sra	SRX729553	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5070	3194	ILLUMINA	2015-07-10	SRR1608495	SRS718879	SRP048759	GSM1521544	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100202	GEO	sra	SRX729553	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	4731	2969	ILLUMINA	2015-07-10	SRR1608496	SRS718879	SRP048759	GSM1521544	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100202	GEO	sra	SRX729553	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5272	3373	ILLUMINA	2015-07-10	SRR1608497	SRS718879	SRP048759	GSM1521544	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100203	GEO	sra	SRX729554	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	4854	3087	ILLUMINA	2015-07-10	SRR1608498	SRS718880	SRP048759	GSM1521545	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100203	GEO	sra	SRX729554	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	4828	3064	ILLUMINA	2015-07-10	SRR1608499	SRS718880	SRP048759	GSM1521545	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100203	GEO	sra	SRX729554	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	4523	2860	ILLUMINA	2015-07-10	SRR1608500	SRS718880	SRP048759	GSM1521545	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100203	GEO	sra	SRX729554	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5054	3259	ILLUMINA	2015-07-10	SRR1608501	SRS718880	SRP048759	GSM1521545	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100204	GEO	sra	SRX729555	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5001	3163	ILLUMINA	2015-07-10	SRR1608502	SRS718881	SRP048759	GSM1521546	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100204	GEO	sra	SRX729555	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	4966	3135	ILLUMINA	2015-07-10	SRR1608503	SRS718881	SRP048759	GSM1521546	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100204	GEO	sra	SRX729555	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	4620	2905	ILLUMINA	2015-07-10	SRR1608504	SRS718881	SRP048759	GSM1521546	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100204	GEO	sra	SRX729555	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5190	3331	ILLUMINA	2015-07-10	SRR1608505	SRS718881	SRP048759	GSM1521546	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100206	GEO	sra	SRX729557	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	6336	4382	ILLUMINA	2015-07-10	SRR1608510	SRS718882	SRP048759	GSM1521548	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100206	GEO	sra	SRX729557	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5915	3987	ILLUMINA	2015-07-10	SRR1608511	SRS718882	SRP048759	GSM1521548	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100206	GEO	sra	SRX729557	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5699	3804	ILLUMINA	2015-07-10	SRR1608512	SRS718882	SRP048759	GSM1521548	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100206	GEO	sra	SRX729557	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5836	3919	ILLUMINA	2015-07-10	SRR1608513	SRS718882	SRP048759	GSM1521548	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100205	GEO	sra	SRX729556	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5306	3381	ILLUMINA	2015-07-10	SRR1608506	SRS718883	SRP048759	GSM1521547	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100205	GEO	sra	SRX729556	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5278	3357	ILLUMINA	2015-07-10	SRR1608507	SRS718883	SRP048759	GSM1521547	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100205	GEO	sra	SRX729556	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	4923	3114	ILLUMINA	2015-07-10	SRR1608508	SRS718883	SRP048759	GSM1521547	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100205	GEO	sra	SRX729556	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5525	3570	ILLUMINA	2015-07-10	SRR1608509	SRS718883	SRP048759	GSM1521547	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100207	GEO	sra	SRX729558	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5996	4153	ILLUMINA	2015-07-10	SRR1608514	SRS718884	SRP048759	GSM1521549	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100207	GEO	sra	SRX729558	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5637	3805	ILLUMINA	2015-07-10	SRR1608515	SRS718884	SRP048759	GSM1521549	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100207	GEO	sra	SRX729558	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5397	3607	ILLUMINA	2015-07-10	SRR1608516	SRS718884	SRP048759	GSM1521549	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100207	GEO	sra	SRX729558	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5513	3707	ILLUMINA	2015-07-10	SRR1608517	SRS718884	SRP048759	GSM1521549	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100208	GEO	sra	SRX729559	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	6986	4854	ILLUMINA	2015-07-10	SRR1608518	SRS718885	SRP048759	GSM1521550	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100208	GEO	sra	SRX729559	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	6571	4459	ILLUMINA	2015-07-10	SRR1608519	SRS718885	SRP048759	GSM1521550	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100208	GEO	sra	SRX729559	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	6330	4255	ILLUMINA	2015-07-10	SRR1608520	SRS718885	SRP048759	GSM1521550	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100208	GEO	sra	SRX729559	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	6458	4368	ILLUMINA	2015-07-10	SRR1608521	SRS718885	SRP048759	GSM1521550	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100209	GEO	sra	SRX729560	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	4975	3346	ILLUMINA	2015-07-10	SRR1608522	SRS718886	SRP048759	GSM1521551	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100209	GEO	sra	SRX729560	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	4948	3320	ILLUMINA	2015-07-10	SRR1608523	SRS718886	SRP048759	GSM1521551	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100209	GEO	sra	SRX729560	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	4933	3303	ILLUMINA	2015-07-10	SRR1608524	SRS718886	SRP048759	GSM1521551	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100209	GEO	sra	SRX729560	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5140	3472	ILLUMINA	2015-07-10	SRR1608525	SRS718886	SRP048759	GSM1521551	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100210	GEO	sra	SRX729561	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	6113	4076	ILLUMINA	2015-07-10	SRR1608526	SRS718887	SRP048759	GSM1521552	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100210	GEO	sra	SRX729561	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	6082	4044	ILLUMINA	2015-07-10	SRR1608527	SRS718887	SRP048759	GSM1521552	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100210	GEO	sra	SRX729561	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	6038	4006	ILLUMINA	2015-07-10	SRR1608528	SRS718887	SRP048759	GSM1521552	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100210	GEO	sra	SRX729561	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	6281	4205	ILLUMINA	2015-07-10	SRR1608529	SRS718887	SRP048759	GSM1521552	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100211	GEO	sra	SRX729562	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5160	3449	ILLUMINA	2015-07-10	SRR1608530	SRS718888	SRP048759	GSM1521553	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100211	GEO	sra	SRX729562	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5132	3422	ILLUMINA	2015-07-10	SRR1608531	SRS718888	SRP048759	GSM1521553	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100211	GEO	sra	SRX729562	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5082	3382	ILLUMINA	2015-07-10	SRR1608532	SRS718888	SRP048759	GSM1521553	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100211	GEO	sra	SRX729562	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5292	3552	ILLUMINA	2015-07-10	SRR1608533	SRS718888	SRP048759	GSM1521553	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100212	GEO	sra	SRX729563	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	6022	4025	ILLUMINA	2015-07-10	SRR1608534	SRS718889	SRP048759	GSM1521554	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100212	GEO	sra	SRX729563	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-08	5992	3996	ILLUMINA	2015-07-10	SRR1608535	SRS718889	SRP048759	GSM1521554	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100212	GEO	sra	SRX729563	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-09	5981	3981	ILLUMINA	2015-07-10	SRR1608536	SRS718889	SRP048759	GSM1521554	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100212	GEO	sra	SRX729563	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-09	6276	4212	ILLUMINA	2015-07-10	SRR1608537	SRS718889	SRP048759	GSM1521554	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100213	GEO	sra	SRX729564	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-09	5697	3808	ILLUMINA	2015-07-10	SRR1608538	SRS718890	SRP048759	GSM1521555	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100213	GEO	sra	SRX729564	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-09	5685	3791	ILLUMINA	2015-07-10	SRR1608539	SRS718890	SRP048759	GSM1521555	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100213	GEO	sra	SRX729564	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-09	5650	3760	ILLUMINA	2015-07-10	SRR1608540	SRS718890	SRP048759	GSM1521555	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100213	GEO	sra	SRX729564	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-09	5929	3980	ILLUMINA	2015-07-10	SRR1608541	SRS718890	SRP048759	GSM1521555	acute myeloid leukemia	acute myeloid leukemia	Heparinised blood	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100214	GEO	sra	SRX729565	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-09	5246	3466	ILLUMINA	2015-07-10	SRR1608542	SRS718891	SRP048759	GSM1521556	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100214	GEO	sra	SRX729565	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-09	5188	3417	ILLUMINA	2015-07-10	SRR1608543	SRS718891	SRP048759	GSM1521556	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100214	GEO	sra	SRX729565	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-09	5155	3389	ILLUMINA	2015-07-10	SRR1608544	SRS718891	SRP048759	GSM1521556	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100214	GEO	sra	SRX729565	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-09	5362	3557	ILLUMINA	2015-07-10	SRR1608545	SRS718891	SRP048759	GSM1521556	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
RNA-Seq		200	PRJNA263397	SAMN03100215	GEO	sra	SRX729566	0	Illumina HiSeq 2000	PAIRED	cDNA		2014-10-09	5734	3830	ILLUMINA	2015-07-10	SRR1608546	SRS718892	SRP048759	GSM1521557	acute myeloid leukemia	acute myeloid leukemia	Bone marrow	public	ncbi	TRANSCRIPTOMIC	Homo sapiens
